loan_amnt,int_rate,installment,annual_inc,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,total_acc,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,collections_12_mths_ex_med,policy_code,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,home_ownership_MORTGAGE,home_ownership_OWN,home_ownership_RENT,verification_status_Source Verified,verification_status_Verified,issue_d_Jan-2019,issue_d_Mar-2019,initial_list_status_w,next_pymnt_d_May-2019,application_type_Joint App,loan_status
10000,0.1614,352.27,165000,10.65,0,0,20,0,17292,26,9561.52,9561.52,642.95,642.95,438.48,204.47,0,0,0,299.65,0,1,0,0,51398,0,2,1,1,10,34106,38,1,1,3907,70,23900,1,5,3,2,3212,1731,84.1,0,0,64,67,7,7,1,31,10,0,6,12,6,6,6,18,19,12,20,0,0,0,2,100,83.3,0,0,62528,51398,10900,38628,0,0,1,1,0,0,0,1,0,0,low_risk
13000,0.1131,284.67,60028,26.03,0,0,16,0,3941,16,12674.18,12674.18,561.17,561.17,325.82,235.35,0,0,0,284.67,0,1,0,0,80991,1,12,2,4,6,77050,104,0,3,2600,87,18500,0,0,3,7,5062,12209,18.1,0,0,77,60,15,6,0,18,6,0,3,4,3,3,12,4,4,4,16,0,0,0,2,100,0,0,0,92630,80991,14900,74130,0,0,1,0,1,0,0,1,1,1,low_risk
8000,0.1131,263.09,103000,9.94,0,0,8,0,7538,10,7622.85,7622.85,521.15,521.15,377.15,144,0,0,0,263.09,0,1,0,426,36224,1,1,1,1,11,28686,92,1,4,4080,76,16300,2,0,3,5,4528,1382,83.3,0,0,117,57,6,6,0,16,11,0,2,3,3,3,3,7,7,3,8,0,0,0,2,100,66.7,0,0,47602,36224,8300,31302,0,0,1,0,0,0,0,1,1,0,low_risk
8000,0.1072,260.86,81792,4.83,0,0,4,0,3760,5,7619.52,7619.52,516.96,516.96,380.48,136.48,0,0,0,260.86,0,1,0,0,7562,0,1,1,1,10,3802,76,0,2,3405,52,9500,1,0,2,3,1891,5240,41.8,0,0,10,118,19,10,0,22,4,0,2,2,2,3,1,3,4,2,4,0,0,0,1,80,0,0,0,14500,7562,9000,5000,1,0,0,1,0,0,0,1,1,0,low_risk
25000,0.1356,576.02,200000,10.73,0,2,11,0,15528,14,24409.64,24409.64,1133.21,1133.21,590.36,542.85,0,0,0,576.02,0,1,0,0,67120,2,3,1,3,5,51592,81,1,1,7620,71,30900,4,0,2,4,6712,11331,52.8,0,0,70,113,3,3,0,28,5,0,4,6,4,4,5,8,9,6,11,0,0,0,2,100,0,0,0,94346,67120,24000,63446,1,0,0,0,0,0,0,1,1,1,low_risk
36000,0.118,797.17,95000,25.04,0,1,16,0,8519,20,35109.3,35109.3,1535.34,1535.34,890.7,644.64,0,0,0,797.17,0,1,0,0,84298,0,3,0,3,13,75779,77,0,3,6446,38,68300,3,0,1,6,5269,46768,14.3,0,0,51,176,13,13,0,13,0,0,3,5,9,10,5,13,15,5,16,0,0,0,0,100,0,0,0,159525,84298,54600,91225,0,1,0,0,0,0,0,1,1,0,low_risk
20000,0.1614,487.86,100880,28,0,1,12,0,33710,23,19559.34,19559.34,957.79,957.79,440.66,517.13,0,0,0,487.86,0,1,0,0,331233,1,3,1,1,2,80701,68,0,0,13632,61,59600,0,0,3,1,27603,16901,64,0,0,118,220,28,2,2,28,2,0,3,4,4,6,7,8,14,4,12,0,0,0,1,100,50,0,0,415683,114411,47000,92083,1,0,0,1,0,0,0,1,1,0,low_risk
6025,0.1797,217.73,40000,11.79,0,0,7,0,1849,11,5768.08,5768.08,429.45,429.45,256.92,172.53,0,0,0,217.73,0,1,0,0,8951,1,1,1,1,9,7102,81,1,3,716,54,7900,1,0,5,4,1279,5776,24,0,0,141,150,3,3,0,3,1,0,4,5,5,6,4,6,7,5,7,0,0,0,2,90.9,0,0,0,16698,8951,7600,8798,0,0,1,1,0,0,0,1,1,0,low_risk
6000,0.1614,211.36,6286908,0.08,0,1,5,1,7329,8,5869.34,5869.34,205.98,205.98,130.66,75.32,0,0,0,211.36,0,1,0,0,32877,0,1,0,0,25,25548,128,0,2,62,104,11500,0,0,5,2,6575,1938,3.1,0,0,101,82,19,19,0,82,0,0,1,3,1,1,4,4,4,3,5,0,0,0,0,75,0,1,0,31500,32877,2000,20000,1,0,0,1,0,0,0,1,0,0,low_risk
24000,0.1894,879.02,115000,26.38,0,1,30,0,32720,42,22991.66,22991.66,1732.79,1732.79,1008.34,724.45,0,0,0,879.02,0,1,0,0,65602,1,3,0,2,20,32882,55,6,12,5145,59,51000,1,1,2,14,2187,7664,77.7,0,0,152,129,1,1,1,1,1,0,12,21,13,16,6,27,35,21,30,0,0,0,6,97.6,61.5,0,0,111107,65602,34300,60107,1,0,0,0,1,0,0,1,1,0,low_risk
